location,estate_name,estate_map_latitude,estate_map_longitude,transaction_price,saleable_floor_area,floor_level,transaction_price_per_sq,discount_rate,assignment_date,month,year,credit_level
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,195500,26,L,7519,73,3,9,2014,F
"TAI PO, NORTH & SHATIN (2)",WAH MING ESTATE,22.48455,114.14015,417200,36,M,11589,69,3,9,2014,0
KOWLOON EAST (1),TAK TIN ESTATE,22.30976,114.23962,587700,35,M,16791,69,3,9,2014,0
TUEN MUN & YUEN LONG (2),LONG PING ESTATE,22.44908,114.02275,348400,32,M,10888,72,3,9,2014,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,391900,46,M,8520,66,3,9,2014,0
"TAI PO, NORTH & SHATIN (2)",CHEUNG WAH ESTATE,22.49219,114.1419,379800,39,M,9738,66,3,9,2014,0
"TAI PO, NORTH & SHATIN (2)",CHEUNG WAH ESTATE,22.49219,114.1419,396500,41,L,9671,66,2,9,2014,0
KOWLOON WEST & SAI KUNG (1),LEI CHENG UK ESTATE,22.33921,114.16013,441200,41,L,10761,73,2,9,2014,F
"TAI PO, NORTH & SHATIN (2)",CHEUNG WAH ESTATE,22.49219,114.1419,168300,26,L,6473,66,2,9,2014,F
HONG KONG ISLAND & ISLANDS (2),LEI TUNG ESTATE,22.24077,114.15697,274200,27,L,10156,66,2,9,2014,F
"TAI PO, NORTH & SHATIN (2)",TAI WO ESTATE,22.45201,114.16259,336300,35,L,9609,74,2,9,2014,F
"TAI PO, NORTH & SHATIN (2)",CHEUNG WAH ESTATE,22.49219,114.1419,386300,39,M,9905,66,2,9,2014,0
KOWLOON WEST & SAI KUNG (2),PO LAM ESTATE,22.32592,114.25309,374100,33,L,11336,66,2,9,2014,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,223200,28,L,7971,66,2,9,2014,0
"TAI PO, NORTH & SHATIN (2)",CHEUNG WAH ESTATE,22.49219,114.1419,327100,33,L,9912,66,2,9,2014,0
"TAI PO, NORTH & SHATIN (3)",FU SHIN ESTATE,22.453,114.17556,454800,35,M,12994,72,2,9,2014,0
"TAI PO, NORTH & SHATIN (3)",FU SHIN ESTATE,22.453,114.17556,226800,27,M,8400,72,2,9,2014,F
KOWLOON WEST & SAI KUNG (1),NAM CHEONG ESTATE,22.32642,114.15827,666100,35,L,19031,72,2,9,2014,0
"TAI PO, NORTH & SHATIN (2)",WAH MING ESTATE,22.48455,114.14015,432400,35,H,12354,69,2,9,2014,0
"TAI PO, NORTH & SHATIN (2)",CHEUNG WAH ESTATE,22.49219,114.1419,393300,39,M,10085,66,2,9,2014,0
KOWLOON EAST (1),TAK TIN ESTATE,22.30976,114.23962,394500,45,L,8767,69,2,9,2014,F
"TAI PO, NORTH & SHATIN (3)",HENG ON ESTATE,22.41583,114.22905,547100,41,H,13344,75,2,9,2014,0
"TAI PO, NORTH & SHATIN (2)",CHEUNG WAH ESTATE,22.49219,114.1419,243500,26,L,9365,66,2,9,2014,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,297200,35,M,8491,66,1,9,2014,0
KOWLOON WEST & SAI KUNG (1),NAM CHEONG ESTATE,22.32642,114.15827,804900,41,L,19632,72,1,9,2014,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,296100,35,M,8460,66,1,9,2014,0
TUEN MUN & YUEN LONG (2),LONG PING ESTATE,22.44908,114.02275,354000,33,L,10727,72,1,9,2014,0
